Timestamp,CPU(%),RAM(%),Disk(%)
2026-05-22 22:03:21,57.3,65.9,52.2
2026-05-22 22:03:24,47.0,66.4,52.2
2026-05-22 22:03:27,47.2,66.4,52.2
2026-05-22 22:03:30,51.0,65.8,52.2
2026-05-22 22:03:33,48.4,66.1,52.2
2026-05-22 22:03:36,63.7,66.0,52.2
2026-05-22 22:03:39,44.0,66.0,52.2
2026-05-22 22:03:42,43.3,65.6,52.2
2026-05-22 22:03:46,47.6,65.6,52.2
2026-05-22 22:03:49,65.7,65.6,52.2
2026-05-22 22:03:52,98.7,65.8,52.2
2026-05-23 10:25:41,66.5,64.1,52.9
2026-05-23 10:25:44,38.7,64.2,52.9
2026-05-23 10:25:47,48.0,64.4,52.9
2026-05-23 10:25:50,61.7,64.8,52.9
2026-05-23 10:25:53,84.1,65.3,52.9
2026-05-23 10:42:36,21.7,65.2,52.9
2026-05-23 10:42:39,28.6,65.2,52.9
2026-05-23 10:42:42,19.7,65.5,52.9
2026-05-23 10:42:45,17.2,65.4,52.9
2026-05-23 10:42:48,79.7,65.8,52.9
2026-05-23 10:42:51,17.5,65.8,52.9
2026-05-23 10:42:54,13.8,65.8,52.9
2026-05-23 10:42:57,18.6,65.8,52.9
2026-05-23 10:43:01,88.8,66.0,52.9
2026-05-23 10:43:04,90.6,66.0,52.9
2026-05-23 10:43:07,38.2,66.1,52.9
2026-05-23 10:43:11,98.6,66.6,52.9
2026-05-23 10:43:14,21.5,66.6,52.9
2026-05-23 10:43:17,43.1,66.7,52.9
2026-05-23 10:43:20,60.9,66.9,52.9
2026-05-23 10:43:23,29.2,66.7,52.9
2026-05-23 10:43:26,16.4,66.6,52.9
2026-05-23 10:43:29,14.2,66.6,52.9
2026-05-23 10:43:32,15.0,66.6,52.9
2026-05-23 10:43:35,56.9,66.8,52.9
2026-05-23 10:43:38,34.1,66.7,52.9
2026-05-23 10:43:41,25.1,66.7,52.9
2026-05-23 10:43:44,19.4,66.6,52.9
2026-05-23 10:43:47,23.2,66.7,52.9
2026-05-23 10:43:50,76.0,66.8,52.9
2026-05-23 10:43:53,91.0,66.6,52.9
2026-05-23 10:43:56,29.1,67.0,52.9
2026-05-23 10:44:00,51.6,67.1,52.9
2026-05-23 10:44:03,100.0,64.9,52.9
2026-05-23 10:44:06,26.3,64.9,52.9
2026-05-23 10:44:09,22.0,64.8,52.9
2026-05-23 10:44:12,82.8,65.2,52.9
2026-05-23 10:44:15,19.8,65.2,52.9
2026-05-23 10:44:18,15.4,65.1,52.9
2026-05-23 10:44:21,23.1,65.3,52.9
2026-05-23 10:44:24,23.4,65.2,52.9
2026-05-23 10:44:27,81.0,65.2,52.9
2026-05-23 10:44:30,15.8,65.4,52.9
2026-05-23 10:44:33,16.2,65.3,52.9
2026-05-23 10:44:36,17.2,65.3,52.9
2026-05-23 10:44:39,39.5,64.8,52.9
